City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
120,Bethel,US,41.3712,-73.414,30.2,31,1,14.97,clear sky,2021-03-15 03:35:06
121,Vardo,NO,70.3705,31.1107,26.6,93,75,4.61,light snow,2021-03-15 03:35:06
122,Manokwari,ID,-0.8667,134.0833,82.96,73,45,5.21,scattered clouds,2021-03-15 03:31:26
123,Caravelas,BR,-17.7125,-39.2481,73.98,84,0,4.56,clear sky,2021-03-15 03:25:17
124,Flin Flon,CA,54.7682,-101.865,31.35,80,26,12.33,scattered clouds,2021-03-15 03:35:07
125,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,72.9,91,100,1.77,overcast clouds,2021-03-15 03:35:08
126,Victor Harbor,AU,-35.5667,138.6167,71.01,67,99,7.52,overcast clouds,2021-03-15 03:35:08
127,San Rafael,AR,-34.6177,-68.3301,73.85,55,100,8.46,overcast clouds,2021-03-15 03:35:08
128,Nome,US,64.5011,-165.4064,19.4,93,90,14.97,mist,2021-03-15 03:31:27
129,Carnarvon,AU,-24.8667,113.6333,87.8,62,0,10.36,clear sky,2021-03-15 03:25:26
130,Boende,CD,-0.2167,20.8667,70.72,99,100,3.15,light rain,2021-03-15 03:35:09
131,Sterling,US,39.0062,-77.4286,46.4,27,1,17.27,clear sky,2021-03-15 03:30:47
132,Karpathos,GR,35.507,27.2132,59.0,82,98,9.22,overcast clouds,2021-03-15 03:35:10
133,Yuryevets,RU,57.3201,43.1041,33.58,98,100,13.91,snow,2021-03-15 03:35:10
134,Enna,IT,37.5588,14.2892,37.0,80,1,11.01,clear sky,2021-03-15 03:35:11
135,Georgetown,MY,5.4112,100.3354,89.6,62,20,2.3,few clouds,2021-03-15 03:20:38
136,Mandalgovi,MN,45.7625,106.2708,17.56,29,12,13.15,few clouds,2021-03-15 03:26:33
137,Isabela,PH,6.7085,121.9711,87.8,62,20,6.91,few clouds,2021-03-15 03:35:11
138,Rudnogorsk,RU,57.2639,103.7519,10.9,85,52,9.04,broken clouds,2021-03-15 03:35:12
139,Saskylakh,RU,71.9167,114.0833,-20.94,92,96,4.03,overcast clouds,2021-03-15 03:25:34
140,Maniitsoq,GL,65.4167,-52.9,17.58,67,47,16.71,scattered clouds,2021-03-15 03:35:12
141,Sjenica,RS,43.2731,19.9994,34.27,98,100,1.9,overcast clouds,2021-03-15 03:35:13
142,Emerald,AU,-23.5333,148.1667,91.4,43,90,6.91,overcast clouds,2021-03-15 03:35:13
143,Aykhal,RU,66.0,111.5,-10.21,91,100,18.05,overcast clouds,2021-03-15 03:27:32
144,Port Macquarie,AU,-31.4333,152.9167,72.0,72,97,1.99,overcast clouds,2021-03-15 03:35:14
